City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,14.92,77,75,7.72,AU,1682379746
1,jacareacanga,-6.2222,-57.7528,23.26,97,98,0.25,BR,1682380486
2,bluff,-46.6,168.3333,11.56,80,97,15.75,NZ,1682380487
3,provideniya,64.3833,-173.3,-4.8,54,0,12.07,RU,1682380487
4,rikitea,-23.1203,-134.9692,26.16,85,64,6.53,PF,1682380487
5,felanitx,39.4696,3.1483,16.09,87,77,2.34,ES,1682380488
6,longyearbyen,78.2186,15.6401,-10.09,73,0,4.12,SJ,1682380488
7,busselton,-33.65,115.3333,13.24,81,100,6.14,AU,1682380489
8,atuona,-9.8,-139.0333,27.51,77,19,5.14,PF,1682380489
9,mataura,-46.1927,168.8643,11.38,71,100,5.12,NZ,1682380489
10,midland,31.9974,-102.0779,20.45,54,61,5.66,US,1682380489
11,kodiak,57.79,-152.4072,2.27,66,7,3.04,US,1682380490
12,ila,63.4305,10.3705,1.01,85,100,2.46,NO,1682380490
13,toora-khem,52.4675,96.11,0.94,69,96,1.64,RU,1682380490
14,shahrud,36.4182,54.9763,19.74,23,54,1.59,IR,1682380490
15,vaini,-21.2,-175.2,28.09,65,75,2.06,TO,1682380491
16,kavaratti,10.5669,72.642,27.87,71,57,3.66,IN,1682380491
17,dikson,73.5069,80.5464,-8.28,87,40,6.29,RU,1682380491
18,thompson,55.7435,-97.8558,6.09,33,20,1.54,CA,1682380491
19,kirakira,-10.4544,161.9205,29.63,66,92,1.36,SB,1682380492
20,arraial do cabo,-22.9661,-42.0278,21.98,83,0,0.0,BR,1682380492
21,punta arenas,-53.15,-70.9167,6.06,81,75,7.2,CL,1682380492
22,olafsvik,64.8945,-23.7142,1.69,60,98,8.32,IS,1682380492
23,codrington,-38.2667,141.9667,20.26,58,43,5.6,AU,1682380493
24,hamilton,39.1834,-84.5333,10.0,45,79,1.14,US,1682380493
25,maniitsoq,65.4167,-52.9,1.31,87,99,2.8,GL,1682380435
26,victoria,22.2855,114.1577,24.03,94,96,7.15,HK,1682380360
27,te anau,-45.4167,167.7167,11.4,86,100,3.56,NZ,1682380494
28,hvolsvollur,63.7533,-20.2243,2.53,80,100,1.9,IS,1682380494
29,clyde river,70.4692,-68.5914,-4.87,93,100,5.14,CA,1682380495
30,prescott,34.54,-112.4685,23.92,24,84,4.47,US,1682380495
31,mahebourg,-20.4081,57.7,24.58,94,20,0.0,MU,1682380495
32,yellowknife,62.456,-114.3525,9.29,40,75,4.12,CA,1682380496
33,kruisfontein,-34.0033,24.7314,16.24,88,90,2.67,ZA,1682380496
34,tasiilaq,65.6145,-37.6368,-7.21,89,73,1.89,GL,1682380496
35,college,64.8569,-147.8028,-3.85,48,75,5.14,US,1682380496
36,wajima,37.4,136.9,11.38,53,0,5.66,JP,1682380496
37,leningradskiy,69.3833,178.4167,-11.43,84,61,5.65,RU,1682380497
38,souillac,-20.5167,57.5167,24.21,94,20,0.0,MU,1682380497
39,ipameri,-17.7219,-48.1597,21.67,69,99,2.83,BR,1682380497
40,salalah,17.0151,54.0924,26.12,80,48,1.9,OM,1682380308
41,puerto ayora,-0.7393,-90.3518,26.42,89,88,3.58,EC,1682380498
42,pevek,69.7008,170.3133,-3.18,67,6,2.36,RU,1682380499
43,sibolga,1.7427,98.7792,24.75,92,100,1.82,ID,1682380499
44,albany,42.6001,-73.9662,9.8,63,89,2.5,US,1682380499
45,sangar,63.9242,127.4739,-1.53,72,100,1.94,RU,1682380499
46,martaban,16.5314,97.6111,28.67,66,2,0.97,MM,1682380241
47,ixtapa,20.7,-105.2,26.24,79,100,2.24,MX,1682380232
48,upernavik,72.7868,-56.1549,-6.68,96,61,1.71,GL,1682380500
49,talnakh,69.4865,88.3972,-4.39,78,70,3.99,RU,1682380500
50,hithadhoo,-0.6,73.0833,28.96,73,98,4.28,MV,1682380500
51,bilibino,68.0546,166.4372,-3.15,54,0,1.37,RU,1682380501
52,kanye,-24.9667,25.3327,16.26,32,94,3.67,BW,1682380501
53,hasaki,35.7333,140.8333,16.27,48,32,4.16,JP,1682380501
54,bull savanna,17.8868,-77.5902,23.47,83,88,0.61,JM,1682380502
55,corrales,35.2378,-106.6067,23.0,28,100,3.09,US,1682380502
56,margate,51.3813,1.3862,6.5,75,100,3.58,GB,1682380503
57,qostanay,53.1667,63.5833,6.16,65,0,1.0,KZ,1682380503
58,makarov,48.6333,142.8,5.39,50,96,5.44,RU,1682380504
59,beyneu,45.3167,55.2,17.25,36,53,11.11,KZ,1682380504
60,torbay,47.6666,-52.7314,2.16,96,100,8.94,CA,1682380505
61,jamestown,42.097,-79.2353,4.73,67,40,7.2,US,1682380505
62,opuwo,-18.0607,13.84,21.05,55,7,0.15,NA,1682380221
63,taber,49.8167,-112.1518,15.58,41,87,3.54,CA,1682380506
64,zuwarah,32.9312,12.082,19.4,55,0,4.37,LY,1682380506
65,lebedinyy,58.5167,125.5167,-5.46,82,100,6.23,RU,1682380506
66,moose factory,51.2585,-80.6094,-2.0,93,100,3.09,CA,1682380506
67,hermanus,-34.4187,19.2345,12.11,87,0,2.52,ZA,1682380506
68,lugovoy,42.9472,72.7644,10.39,67,29,2.41,KZ,1682380507
69,namatanai,-3.6667,152.4333,29.47,67,46,2.31,PG,1682380507
70,richards bay,-28.783,32.0377,21.01,79,100,4.15,ZA,1682380507
71,bandarbeyla,9.4942,50.8122,28.39,72,53,4.34,SO,1682380508
72,kapaa,22.0752,-159.319,25.99,91,100,3.09,US,1682380508
73,loiza,18.4313,-65.8802,26.71,77,75,3.09,PR,1682380508
74,kajaani,64.2273,27.7285,-0.97,86,100,3.09,FI,1682380357
75,byron bay,-28.65,153.6167,21.39,62,98,5.79,AU,1682380510
76,sambava,-14.2667,50.1667,24.4,91,100,1.79,MG,1682380510
77,georgetown,5.4112,100.3354,25.96,94,20,1.54,MY,1682380217
78,port elizabeth,-33.918,25.5701,18.16,96,100,4.12,ZA,1682380511
79,kang,-23.6752,22.7876,18.81,63,89,2.02,BW,1682380511
80,cape town,-33.9258,18.4232,16.88,94,6,2.06,ZA,1682380268
